"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Murina leucogaster",0,0.0145376549094376,0.0126760563380282,0.209859154929577,NA,NA,73,0.0790242887256811,1
"Pteropus giganteus",1,0.0222831267874166,0.0802816901408451,0.135211267605634,NA,NA,82.1666666666667,0.0792586948446318,1
"Artibeus lituratus",1,0.189585319351764,0.0267605633802817,0.0323943661971831,NA,NA,279.166666666667,0.0829134163097428,1
"Myotis lucifugus",0,0.122378455672069,0.00492957746478873,0.126760563380282,NA,NA,202.333333333333,0.0846895321723797,1
"Hipposideros armiger",1,0.0127502383222116,0.1,0.147887323943662,NA,NA,76.5,0.0868791874219579,1
"Carollia perspicillata",1,0.2017397521449,0.0112676056338028,0.047887323943662,NA,NA,296.166666666667,0.0869648939074549,1
"Eptesicus serotinus",1,0.00214489990467112,0.0492957746478873,0.212676056338028,NA,NA,65,0.0880389102968622,1
"Sturnira lilium",0,0.160152526215443,0.0169014084507042,0.0901408450704225,NA,NA,249.333333333333,0.0890649265788567,1
"Myotis septentrionalis",0,0.124165872259295,0.0232394366197183,0.123943661971831,NA,NA,208.5,0.0904496569502813,1
"Rhinolophus pusillus",1,0.00428979980934223,0.0746478873239437,0.201408450704225,NA,NA,71.3333333333333,0.0934487126125037,1
"Glossophaga soricina",0,0.180529075309819,0.0169014084507042,0.0887323943661972,NA,NA,277.5,0.0953876260422401,1
"Pipistrellus abramus",1,0.00762631077216397,0.0690140845070423,0.215492957746479,NA,NA,78,0.097377784341895,1
"Desmodus rotundus",0,0.185533841754051,0.0169014084507042,0.0929577464788732,NA,NA,285.5,0.0984643322278763,1
"Molossus rufus",0,0.196615824594852,0.00845070422535211,0.0915492957746479,NA,NA,298.666666666667,0.0988719415316174,1
"Phyllostomus hastatus",0,0.189585319351764,0.0323943661971831,0.0802816901408451,NA,NA,291.833333333333,0.100753791896597,1
"Artibeus phaeotis",1,0.193755958055291,0.0253521126760563,0.0859154929577465,NA,NA,297.333333333333,0.101674521229698,1
"Tadarida brasiliensis",0,0.170638703527169,0.00492957746478873,0.133802816901408,NA,NA,271.5,0.103123699297789,1
"Myotis mystacinus",0,0.0135843660629171,0.0373239436619718,0.298591549295775,NA,NA,98.5,0.116499953006888,1
"Chaerephon pumilus",0,0.0543374642516683,0.0711267605633803,0.228169014084507,NA,NA,146.833333333333,0.117877746299852,1
"Pteropus scapulatus",0,0.0719733079122974,0.0830985915492958,0.205633802816901,NA,NA,169,0.120235234092832,1
"Barbastella barbastellus",0,0.0219256434699714,0.0373239436619718,0.311267605633803,NA,NA,113.166666666667,0.123505730921915,1
"Vulpes vulpes",0,0.153360343183985,0.076056338028169,0.142253521126761,NA,NA,266.166666666667,0.123890067446305,1
"Myotis blythii",0,0.0107244995233556,0.0619718309859155,0.307042253521127,NA,NA,102.333333333333,0.126579528010133,1
"Plecotus auritus",0,0.0169208770257388,0.0373239436619718,0.328169014084507,NA,NA,110.166666666667,0.127471278257406,1
"Myotis nattereri",0,0.0142993326978074,0.0619718309859155,0.308450704225352,NA,NA,107.666666666667,0.128240622636358,1
"Myotis myotis",0,0.0131077216396568,0.0619718309859155,0.314084507042254,NA,NA,107.333333333333,0.129721353222609,1
"Uroderma bilobatum",0,0.179694947569113,0.0732394366197183,0.136619718309859,NA,NA,301,0.129851367499564,1
"Didelphis marsupialis",0,NA,0.113380281690141,0.146478873239437,NA,NA,92.25,0.129929577464789,1
"Myotis keenii",0,0.122378455672069,0.0774647887323944,0.204225352112676,NA,NA,237.833333333333,0.13468953217238,1
"Camelus dromedarius",1,NA,0.250704225352113,0.0253521126760563,NA,NA,98,0.138028169014085,1
"Rousettus amplexicaudatus",1,0.0059580552907531,0.261971830985915,0.152112676056338,NA,NA,106.333333333333,0.140014187444336,1
"Pteronotus parnellii",1,0.249404194470925,0.0211267605633803,0.150704225352113,NA,NA,389.5,0.140411726795473,1
"Pipistrellus nathusii",1,0.0182316491897045,0.0873239436619718,0.316901408450704,NA,NA,121.166666666667,0.140819000434127,1
"Myotis riparius",0,0.0610104861773117,0.0619718309859155,0.309859154929577,NA,NA,173.333333333333,0.144280490697602,1
"Nycteris gambiensis",0,0.176835081029552,0.0507042253521127,0.219718309859155,NA,NA,311.333333333333,0.149085872080273,1
